BondCode,BondName,Issuer,Term,CreditRating,BondType,IssueDate,CouponRate,_priority,_merge_code
188032,21中泰C2,中泰证券股份有限公司,,AA+,,,,999,188032
188033,21苏城01,苏州城市建设投资发展(集团)有限公司,5.0,AAA,02,2021-04-30,3.78,999,188033
188034,21海润01,江苏海润城市发展集团有限公司,5.0,AA+,02,2021-04-28,4.2,999,188034
188035,21中财G3,中国中金财富证券有限公司,5.0,AAA,02,2021-04-29,3.55,999,188035
188036,21中财G4,中国中金财富证券有限公司,5.0,AAA,02,2021-04-29,3.84,999,188036
188037,21紫金Y1,南京紫金投资集团有限责任公司,,AAA,02,2021-04-29,3.9,999,188037
188038,21GLP07,普洛斯中国控股有限公司,5.0,AAA,02,2021-04-29,4.4,999,188038
188039,21宁德01,宁德市国有资产投资经营集团有限公司,5.0,AA,02,2021-05-10,4.1,999,188039
188041,21武经01,江苏武进经济发展集团有限公司,5.0,AA+,02,2021-05-13,4.35,999,188041
188042,21先导01,长沙先导投资控股集团有限公司,3.0,AAA,02,2021-04-29,3.7,999,188042
188043,21先导02,长沙先导投资控股集团有限公司,7.0,AAA,02,2021-04-29,4.5,999,188043
188044,21山招Y1,山东招金集团有限公司,,AAA,02,2021-04-30,4.7,999,188044
188045,21西南01,西南水泥有限公司,3.0,AAA,02,2021-04-28,3.59,999,188045
188046,21西南02,西南水泥有限公司,5.0,AAA,02,2021-04-28,3.94,999,188046
188047,21华泰G3,华泰证券股份有限公司,3.0,AAA,02,2021-04-29,3.42,999,188047
188048,21渝水01,重庆水务集团股份有限公司,5.0,AAA,02,2021-04-29,3.8,999,188048
188049,H21富通1,富通集团有限公司,3.0,AA+,02,2021-04-29,7.0,999,188049
188050,21国发01,苏州国际发展集团有限公司,3.0,AAA,02,2021-04-29,3.49,999,188050
188051,21巴中G1,巴中市国有资本运营集团有限公司,3.0,AA,02,2021-05-11,7.2,999,188051
188052,21中航Y1,中国航空技术国际控股有限公司,,AAA,02,2021-05-10,3.48,999,188052
188053,21中航Y2,中国航空技术国际控股有限公司,,AAA,02,2021-05-10,3.69,999,188053
188054,21中金Y2,中国国际金融股份有限公司,,AAA,,,,999,188054
188055,21安租Y3,平安国际融资租赁有限公司,,AAA,02,2021-06-07,5.1,999,188055
188057,21越交02,越秀交通基建有限公司,5.0,AAA,02,2021-05-18,3.48,999,188057
188058,21越交03,越秀交通基建有限公司,7.0,AAA,02,2021-05-18,3.84,999,188058
188059,21诚通05,中国诚通控股集团有限公司,5.0,AAA,02,2021-04-29,3.7,999,188059
188060,21诚通06,中国诚通控股集团有限公司,7.0,AAA,02,2021-04-29,4.0,999,188060
188061,21富皋G1,富皋万泰集团有限公司,5.0,AA+,02,2021-05-06,4.25,999,188061
188062,21东吴C1,东吴证券股份有限公司,,AA+,,,,999,188062
